Body,Affiliation 1,Activity 1,Affiliation 2,Activity 2,Affiliation 3,Activity 3,Affiliation 4,Activity 4,Affiliation 5,Activity 5,Affiliation 6,Activity 6,Affiliation 7,Activity 7,Affiliation 8,Activity 8,Affiliation 9,Activity 9,Affiliation 10,Activity 10,Affiliation 11,Activity 11,Affiliation 12,Activity 12,Affiliation 13,Activity 13,Affiliation 14,Activity 14,Affiliation 15,Activity 15,Affiliation 16,Activity 16,Affiliation 17,Activity 17,Affiliation 18,Activity 18,Affiliation 19,Activity 19,Affiliation 20,Activity 20,,,,
Bill and Melinda Gates Fundation,CEPI,Funding,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellcome Trust,CEPI,Funding,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,SEAICRN,Capacity Building,,,,,,,,,,,,,,,,
Government of Norway,CEPI,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government of India,CEPI,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Scientific Research & Technology,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Academy of Sciences,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butantan Institute,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Institutes of Health Research,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Health and Human Services,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Commission - Research and Innovation,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,,,,,PREPARE,Clinical Trials,,,,,,,,,EMERGE,Laboratory Methods,,,EMLab,Laboratory Methods,,,,,,
Fiocruz Institute,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Federal Ministry of Education and Research,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Council of Medical Research,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut national de la santé et de la recherche médicale,,,GloPiD-R,Funding,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,EMLab,Laboratory Methods,,,,,,
International Development Research Centre,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan Agency for Medical Research and Development,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Medical Research Council,,,GloPiD-R,Funding,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Health of Italy,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Science, Technology and Productive Innovation of Argentina",,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Council of Science and Technology of Mexico,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health and Medical Research Council,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute of Health Carlos III,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,,,,,,,,,,
"National Institute of Health, Department of Medical Sciences of Thailand",,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Research Foundation of Korea,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Council of Norway,,,GloPiD-R,Funding,,,,,EDCTP,Clinical Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Paulo Research Foundation,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South African Medical Research Council,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Development Bank,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian Development Agency,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie Corporation of New York,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
