Body,Number of ties,Affiliation_1,Activity_1,Affiliation_2,Activity_2,Affiliation_3,Activity_3,Affiliation_4,Activity_4,Affiliation_5,Activity_5,Affiliation_6,Activity_6,Affiliation_7,Activity_7,Affiliation_8,Activity_8,Affiliation_9,Activity_9,Affiliation_10,Activity_10,Affiliation_11,Activity_11,Affiliation_12,Activity_12,Affiliation_13,Activity_13,Affiliation_14,Activity_14,Affiliation_15,Activity_15,Affiliation_16,Activity_16,Affiliation_17,Activity_17,Affiliation_18,Activity_18,Affiliation_19,Activity_19,Affiliation_20,Activity_20,Affiliation_21,Activity_21,Affiliation_22,Activity_22,Affiliation_23,Activity_23,Affiliation_24,Activity_24,Affiliation_25,Activity_25,Affiliation_26,Activity_26,Affiliation_27,Activity_27,Affiliation_28,Activity_28,Affiliation_29,Activity_29,Affiliation_30,Activity_30,Affiliation_31,Activity_31,Affiliation_32,Activity_32,Affiliation_33,Activity_33,Affiliation_34,Activity_34,Affiliation_35,Activity_35,Affiliation_36,Activity_36,Affiliation_37,Activity_37,Affiliation_38,Activity_38,Affiliation_39,Activity_39,Affiliation_40,Activity_40,Affiliation_41,Activity_41,Affiliation_42,Activity_42,Affiliation_43,Activity_43,Affiliation_44,Activity_44,Affiliation_45,Activity_45,Affiliation_46,Activity_46,Affiliation_47,Activity_47
European Commission - Research and Innovation,16,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,,,COHRED,Capcity Building,,,EACCR,Capacity Building,,,,,PREPARE,Clinical Trials,,,,,,,,,EMERGE,Laboratory Methods,,,EMLab,Laboratory Methods,,,,,,,,,,,,,PERISCOPE,Vaccine development,COMPARE,Information Sharing,ZIKAlliance,Epidemiology,ZikaPLAN,Epidemiology,,,,,,,ZIKAVAX,Vaccine development,,,,,,,,,,,CDPRG,Clinical Trials,EBOVAC,Clinical Trials,,,,,AfriCoLeish,Drug Development,,,,,,,,
Department of Health and Human Services,14,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,Afircan meningococcal carriage Consortium,Epidemiology,COHRED,Capcity Building,,,EACCR,Capacity Building,NIH Tropical Research Centres,Capacity Building,,,,,REDMEI,Capacity Building,SEAICRN,Capacity Building,,,,,,,,,,,Zika Task Force,Epidemiology,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,ICEMR,Clinical Trials,,
Wellcome Trust,10,CEPI,Funding,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,ISARIC,Information Sharing,,,,,SEAICRN,Capacity Building,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,THRiVE,Capacity Building,AESA,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
London School Of Hygiene and Tropical Medicine,10,,,,,,,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THRiVE,Capacity Building,,,,,,,ZIKAlliance,Epidemiology,ZikaPLAN,Epidemiology,,,MERG,Epidemiology,,,,,,,,,,,ARCTEC,Laboratory Methods,,,CDPRG,Clinical Trials,EBOVAC,Clinical Trials,,,,,AfriCoLeish,Drug Development,,,,,,,Team B,Information Sharing
US National Institute of Health,9,,,,,ESSENCE,Capcity Building,,,,,,,COHRED,Capcity Building,,,,,NIH Tropical Research Centres,Capacity Building,,,,,REDMEI,Capacity Building,SEAICRN,Capacity Building,,,,,,,,,,,Zika Task Force,Epidemiology,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,ICEMR,Clinical Trials,,
Bill and Melinda Gates Fundation,8,CEPI,Funding,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,ISARIC,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,AESA,Capacity Building,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,,
Public Health England,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERGE,Laboratory Methods,EVAg,Information Sharing,EMLab,Laboratory Methods,,,,,,,,,,,,,PERISCOPE,Vaccine development,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Deparment for International Development,4,,,,,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AESA,Capacity Building,,,,,,,,,,,,,,,,,,,,,COMDIS,Capacity Building,,,,,CDPRG,Clinical Trials,,,,,,,,,,,,,,,,
US Centres for Disease Control,4,,,,,,,,,EDCTP,Clinical Trials,Afircan meningococcal carriage Consortium,Epidemiology,,,,,EACCR,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute for Communicable Disease of South Africa,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVAg,Information Sharing,,,Zika Task Force,Epidemiology,Chikungunya Task Force,Epidemiology,,,PDNA,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
