ID,Pathogen,Cleaned Name,Original Name,Region,Country,City,Street Address,Postal Code,Contact Phone #,Email Address,Institution Type,URL,Affiliation,Research_Area,Research_Description,Source
1,Zika,Inovio Pharmaceuticals,Inovio Pharmaceuticals,America (AMRO),United States,"Plymouth Meeting, PA",660 West Germantown Pike Suite 110,19462,267.440.4200, clinical.trials@inovio.com,Private,http://www.inovio.com,,Vaccine,"Synthetic DNA Vaccine (Platform technology is called ""SynCon""), constructed using multiple Zika antigens",http://ir.inovio.com/news/news-releases/news-releases-details/2016/Inovio-Pharmaceuticals-DNA-Vaccine-for-Zika-Virus-Induces-Robust-Immune-Responses-in-Preclinical-Study/default.aspx
2,Zika,GeneOne Life Sciences,GeneOne Life Sciences,Western Pacific (WPRO),South Korea,Seoul,"Suite 1903, 223 Teheran-Ro, Gangnam-Gu",6142,82.2.527.0600,genels@genels.com,Private,http://www.genels.com,,Vaccine,Using DNA-based vaccine - collaborating with Inovio,https://globenewswire.com/news-release/2016/01/22/803925/0/en/GeneOne-Life-Science-and-Inovio-Pharmaceuticals-to-Collaborate-on-Zika-Virus-Vaccine-Development.html
3,Zika,Bharat Biotech International Ltd,Bharat Biotech International Ltd,South East Asia (SEARO),India,Hyderabad,"Genome Valley, Turkapally, Shameerpet, Telangana",500078,91.40.2778.4084,exports02@bharatbiotech.com,Private,http://www.bharatbiotech.com,,Vaccine,"Two vaccine candidates - one inactivated, one recombinant",http://www.thehindu.com/sci-tech/health/bharat-biotech-seeks-govt-approval-of-two-zika-vaccine-candidates/article8188330.ece
4,Zika,Takeda Pharmaceuticals,Takeda Pharmaceuticals,Western Pacific (WPRO),Japan,Tokyo,"12-10, Nihonbashi 2-chome, Chuo-ku",,81-6-6204-2111,https://www.takeda.com/contact/form/en/,Private,https://www.takeda.com,,Vaccine,"Exploratory phase, looking to cross-apply work from Dengue",http://www.reuters.com/article/us-health-zika-takeda-idUSKCN0VC109
5,Zika,Sanofi,Sanofi,Europe (EURO),France,Paris,"54, rue La Boétie ",75008,33 (0)1 53 77 40 00,http://en.sanofi.com/contact/contact.aspx,Private,http://en.sanofi.com,,Vaccine,Live attenuated vaccine,http://hereandnow.wbur.org/2016/04/20/zika-vaccine-development
6,Zika,Butantan Institute,Butantan Institute,America (AMRO),Brazil,São Paulo,"Av. Vital Brasil, 1500 – Butantã ",05503-900,(+ 55 11) 2627-9300_,comunicacao@butantan.gov.br,Public,http://www.butantan.gov.br,GloPID-R,Vaccine,"Inactivated vaccine based on ""killed"" Zika virus samples",http://www.nature.com/news/the-race-is-on-to-develop-zika-vaccine-1.19634
7,Zika,NIH,NIH,America (AMRO),United States,"Bethesda, Maryland",9000 Rockville Pike,20892,301-496-4000, NIHinfo@od.nih.gov,Public,nih.gov,,Funder,Three platforms - (1) DNA-based vaccine repurposed from West Nile (2) Live attenuated vaccine based on Dengue (3) Investigational vaccine based on vesicular stomatitis virus,https://www.niaid.nih.gov/topics/zika/researchapproach/Pages/vaccineResearch.aspx
8,Zika,Merck & Co,Merck & Co,America (AMRO),United States,"Kenilworth, NJ",2000 Galloping Hill Road,07033,908-740-4000,,Private,merck.com,,Vaccine,Partnering with NewLink to use flavivirus platforms,http://www.fool.com/investing/general/2016/04/16/the-race-to-cure-the-zika-virus-is-on-and-this-com.aspx
9,Zika,NewLink Genetics Corp,NewLink Genetics Corp,America (AMRO),United States,"Ames, IA",2503 South Loop Drive Suite 5100,50010,515-296-5555,info@newlinkgenetics.com,Private,http://www.newlinkgenetics.com,,Vaccine,"Partnering with Merck, looking to repurpose vaccine platforms",http://www.fool.com/investing/general/2016/02/08/can-newlink-genetics-win-the-zika-vaccine-race.aspx
10,Zika,Johnson & Johnson,Johnson & Johnson,America (AMRO),United States,"New Brunswick, New Jersey ",One Johnson & Johnson Plaza,08933,(732) 524-0400,https://www.ccc-consumercarecenter.com/universal-contact-us/us-jnj-ucu/www.jnj.com,Private,http://www.jnj.com,,Vaccine,Exploratory phase - looking to use existing technologies,http://blog.ihs.com/the-spread-of-the-zika-threat-and-the-response-of-the-global-pharma-industry-%E2%80%93-parallels-to-ebola-but-important-distinctions
11,Zika,GlaxoSmithKline,GlaxoSmithKline,Europe (EURO),United Kingdom,Middlesex,980 Great West Road Brentford,TW8 9GS,44 (0)20 8990 9000,,Private,http://uk.gsk.com,,Vaccine,Exploratory phase - no public disclosure to date,http://economictimes.indiatimes.com/news/international/world-news/gsk-evaluating-possibility-of-using-vaccine-technology-for-zika/articleshow/50723411.cms
12,Zika,Sementis Ltd,Sementis Ltd,Western Pacific (WPRO),Australia,"Berwick Melbourne, Victoria","Sing Crescent 9, Centre For Industrial Research",3806,0402 294 797,http://www.sementis.com.au/contact-us,Private,http://www.sementis.com.au,,Vaccine,"Cross-applying platform for chikungunya, in clinical manufacturing process (2-16-16)",http://www.unisa.edu.au/Media-Centre/Releases/UniSA-industry-partnership-seeks-vaccine-for-Zika-virus/#.VzaVmBUrJD0
13,Zika,Hawaii Biotech,Hawaii Biotech,America (AMRO),United States,"Aiea, HI",99-193 Aiea Heights Dr # 200,96701,(808) 486-5333,info@hibiotech.com,Private,http://www.hibiotech.com/index.html,,Vaccine,"Molecular vaccine, previous work on Dengue and West Nile",http://www.hawaiinewsnow.com/story/31866151/hawaii-biotech-to-work-on-zika-vaccine
14,Zika,Replikens Ltd,Replikens Ltd,America (AMRO),United States,"Boston, MA",36 Fenway,02215, (646) 320-5910,info@replikins.com,Private,http://www.replikins.com/index.html,,Vaccine,Synthetic genomic-based peptide vaccine-blocker for Zika virus ,http://www.prnewswire.com/news-releases/zika-gene-replikin-count-at-highest-level-observed-300210265.html
15,Zika,Pfizer Inc,Pfizer Inc,America (AMRO),United States,"New York City, NY",235 East 42nd Street,10017,1-212-733-2323,https://www.pfizer.com/contact/email_contact?inquiry=Clinical%20Research,Private,http://www.pfizer.com,,Vaccine,Exploratory phase - looking to use existing technologies,http://www.theguardian.com/world/2016/apr/17/us-zika-outbreaks-likely-world-health-organization
16,Zika,GeoVax Labs Inc.,GeoVax Labs Inc.,America (AMRO),United States,"Smyrna, GA","1900 Lake Park Drive, Suite 380",30080,678-384-7220,info@geovax.com,Private,http://geovax.com,,Vaccine,"Modified Vaccinia Virus Ankara –Virus-Like Particle (MVA-VLP) platform, previously used for Ebola and HIV",http://www.geovax.com/news-events/entry/2016/04/18/geovax-provides-update-on-zika-vaccine-program.html
