Body,Affiliation 1,Activity 1,Affiliation 2,Activity 2,Affiliation 3,Activity 3,Affiliation 4,Activity 4,Affiliation 5,Activity 5,Affiliation 6,Activity 6,Affiliation 7,Activity 7,Affiliation 8,Activity 8,Affiliation 9,Activity 9,Affiliation 10,Activity 10,Affiliation 11,Activity 11,Affiliation 12,Activity 12,Affiliation 13,Activity 13,Affiliation 14,Activity 14,Affiliation 15,Activity 15,Affiliation 16,Activity 16,Affiliation 17,Activity 17,Affiliation 18,Activity 18,Affiliation 19,Activity 19,Affiliation 20,Activity 20,Affiliation 21,Activity 21,Affiliation 22,Activity 22,Affiliation 23,Activity 23,Affiliation 24,Activity 24,Affiliation 25,Activity 25,Affiliation 26,Activity 26,Affiliation 27,Activity 27,Affiliation 28,Activity 28,Affiliation 29,Activity 29,Affiliation 30,Activity 30,Affiliation 30,Activity 30,Affiliation 31,Activity 31,Affiliation 32,Activity 32,Affiliation 33,Activity 33,Affiliation 34,Activity 34,Affiliation 35,Activity 35,Affiliation 36,Activity 36,Affiliation 37,Activity 37,Affiliation 38,Activity 38,Affiliation 39,Activity 39,Affiliation 39,Activity 39,Affiliation 40,Activity 40,Affiliation 41,Activity 41,Affiliation 42,Activity 42,Affiliation 43,Activity 43,Affiliation 44,Activity 44,Affiliation 45,Activity 45
Bill and Melinda Gates Fundation,CEPI,Funding,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,ISARIC,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,AESA,Capacity Building,PERISCOPE,Vaccine development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,,,,
Wellcome Trust,CEPI,Funding,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,ISARIC,Information Sharing,,,,,SEAICRN,Capacity Building,,,,,,,,,,,,,,,H3Africa,Capacity Building,,,THRiVE,Capacity Building,AESA,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team B,Information Sharing
Norwegian Institute of Public Health,CEPI,Funding,,,,,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government of India,CEPI,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Scientific Research & Technology,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Academy of Sciences,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AESA,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butantan Institute,,,GloPiD-R,Funding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZikaPLAN,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Institutes of Health Research,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Health and Human Services,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,Afircan meningococcal carriage Consortium,Epidemiology,COHRED,Capcity Building,,,EACCR,Capacity Building,NIH Tropical Research Centres,Capacity Building,,,,,REDMEI,Capacity Building,SEAICRN,Capacity Building,,,,,,,,,,,Zika Task Force,Epidemiology,,,H3Africa,Capacity Building,,,,,,,,,,,,,,,CONSISE,Information Sharing,,,,,,,,,,,,,,,,,,,,,VMI,Vaccine modelling,,,,,,,,,ICEMR,Clinical Trials,,
European Commission - Research and Innovation,,,GloPiD-R,Funding,ESSENCE,Capcity Building,,,EDCTP,Clinical Trials,,,COHRED,Capcity Building,,,EACCR,Capacity Building,,,,,PREPARE,Clinical Trials,,,,,,,,,EMERGE,Laboratory Methods,,,EMLab,Laboratory Methods,,,,,,,,,,,,,PERISCOPE,Vaccine development,COMPARE,Information Sharing,ZIKAlliance,Epidemiology,ZikaPLAN,Epidemiology,,,,,,,ZIKAVAX,Vaccine development,,,,,,,,,,,CDPRG,Clinical Trials,EBOVAC,Clinical Trials,,,,,AfriCoLeish,Drug Development,,,,,,,,
